-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/02/2022 through 04/01/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_UVA        CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB        CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB
47.75,7.25,2022,1,2,6.05,3.9,4.98,4.94,7.73,226.43,0.74,-999.0,295.28,-999.0,-999.0
47.75,7.75,2022,1,2,5.78,3.36,4.57,4.36,6.9,224.96,0.74,-999.0,295.28,-999.0,-999.0
47.75,8.25,2022,1,2,5.45,2.85,4.15,3.87,6.23,226.79,1.01,-999.0,285.76,-999.0,-999.0
47.75,8.75,2022,1,2,5.74,2.28,4.01,3.53,6.91,242.84,1.01,-999.0,285.76,-999.0,-999.0
47.75,9.25,2022,1,2,5.23,1.4,3.31,2.54,6.81,229.59,1.01,-999.0,285.76,-999.0,-999.0
47.75,9.75,2022,1,2,4.89,0.72,2.8,2.11,7.18,225.44,1.01,-999.0,285.76,-999.0,-999.0
47.75,10.25,2022,1,2,4.73,0.39,2.56,2.03,7.45,225.7,1.38,-999.0,272.77,-999.0,-999.0
47.75,10.75,2022,1,2,4.54,0.38,2.46,2.14,7.23,226.72,1.38,-999.0,272.77,-999.0,-999.0
47.75,11.25,2022,1,2,3.83,0.57,2.2,2.3,6.29,225.88,1.38,-999.0,272.77,-999.0,-999.0
47.75,11.75,2022,1,2,3.48,0.23,1.85,1.71,5.86,222.9,1.38,-999.0,272.77,-999.0,-999.0
47.75,12.25,2022,1,2,3.6,-0.13,1.73,1.27,5.49,222.81,1.34,-999.0,266.0,-999.0,-999.0
47.75,12.75,2022,1,2,3.88,-0.72,1.58,0.79,5.04,223.21,1.34,-999.0,266.0,-999.0,-999.0
47.75,13.25,2022,1,2,3.89,-1.36,1.26,0.27,4.58,224.11,1.34,-999.0,266.0,-999.0,-999.0
47.75,13.75,2022,1,2,3.03,-1.44,0.8,-0.12,4.38,227.94,1.34,-999.0,266.0,-999.0,-999.0
47.75,14.25,2022,1,2,3.51,-0.5,1.5,0.7,4.62,236.41,1.3,-999.0,265.28,-999.0,-999.0
47.75,14.75,2022,1,2,4.07,0.89,2.48,2.12,4.89,240.35,1.3,-999.0,265.28,-999.0,-999.0
47.75,15.25,2022,1,2,4.36,1.99,3.17,3.09,5.0,244.64,1.3,-999.0,265.28,-999.0,-999.0
48.25,5.75,2022,1,2,6.45,5.71,6.08,6.13,9.07,216.07,0.93,-999.0,304.05,-999.0,-999.0
48.25,6.25,2022,1,2,5.95,5.0,5.48,5.5,8.5,211.47,0.81,-999.0,296.87,-999.0,-999.0
48.25,6.75,2022,1,2,5.95,4.85,5.4,5.57,8.06,223.07,0.81,-999.0,296.87,-999.0,-999.0
48.25,7.25,2022,1,2,6.02,4.39,5.2,5.32,7.87,222.95,0.81,-999.0,296.87,-999.0,-999.0
48.25,7.75,2022,1,2,5.76,3.95,4.85,4.99,7.48,217.14,0.81,-999.0,296.87,-999.0,-999.0
48.25,8.25,2022,1,2,5.33,3.59,4.46,4.7,7.17,216.92,0.6,-999.0,293.43,-999.0,-999.0
48.25,8.75,2022,1,2,5.53,3.14,4.34,4.36,8.0,238.84,0.6,-999.0,293.43,-999.0,-999.0
48.25,9.25,2022,1,2,5.21,2.78,3.99,3.79,8.03,234.07,0.6,-999.0,293.43,-999.0,-999.0
48.25,9.75,2022,1,2,5.11,2.48,3.79,3.65,8.52,232.26,0.6,-999.0,293.43,-999.0,-999.0
48.25,10.25,2022,1,2,5.35,2.31,3.83,3.84,8.94,233.66,0.92,-999.0,289.02,-999.0,-999.0
48.25,10.75,2022,1,2,5.72,2.32,4.02,4.17,8.85,236.3,0.92,-999.0,289.02,-999.0,-999.0
48.25,11.25,2022,1,2,5.64,2.56,4.1,4.34,7.93,236.0,0.92,-999.0,289.02,-999.0,-999.0
48.25,11.75,2022,1,2,5.33,2.41,3.87,3.98,7.51,232.92,0.92,-999.0,289.02,-999.0,-999.0
48.25,12.25,2022,1,2,5.22,2.26,3.74,3.5,6.95,230.3,1.1,-999.0,279.72,-999.0,-999.0
48.25,12.75,2022,1,2,5.23,2.15,3.69,3.17,6.26,228.66,1.1,-999.0,279.72,-999.0,-999.0
48.25,13.25,2022,1,2,5.1,2.02,3.56,2.93,5.6,227.54,1.1,-999.0,279.72,-999.0,-999.0
48.25,13.75,2022,1,2,4.38,1.69,3.03,2.37,5.21,225.47,1.1,-999.0,279.72,-999.0,-999.0
48.25,14.25,2022,1,2,4.33,1.44,2.89,2.28,5.31,227.24,0.94,-999.0,276.74,-999.0,-999.0
48.25,14.75,2022,1,2,4.37,1.82,3.09,2.94,5.55,228.76,0.94,-999.0,276.74,-999.0,-999.0
48.25,15.25,2022,1,2,4.44,2.31,3.37,3.5,5.68,234.31,0.94,-999.0,276.74,-999.0,-999.0
48.75,5.75,2022,1,2,7.01,6.2,6.6,6.78,9.53,219.18,0.93,-999.0,304.05,-999.0,-999.0
48.75,6.25,2022,1,2,6.78,5.76,6.26,6.4,9.36,216.62,0.81,-999.0,296.87,-999.0,-999.0
48.75,6.75,2022,1,2,6.54,5.54,6.04,6.17,8.76,222.3,0.81,-999.0,296.87,-999.0,-999.0
48.75,7.25,2022,1,2,6.56,5.24,5.9,6.06,8.35,224.02,0.81,-999.0,296.87,-999.0,-999.0
48.75,7.75,2022,1,2,6.5,4.86,5.68,5.87,8.25,220.69,0.81,-999.0,296.87,-999.0,-999.0
48.75,8.25,2022,1,2,6.36,4.5,5.43,5.61,8.45,217.51,0.6,-999.0,293.43,-999.0,-999.0
48.75,8.75,2022,1,2,6.44,4.38,5.41,5.53,8.85,225.94,0.6,-999.0,293.43,-999.0,-999.0
48.75,9.25,2022,1,2,6.26,4.03,5.14,5.1,8.54,231.99,0.6,-999.0,293.43,-999.0,-999.0
48.75,9.75,2022,1,2,5.82,3.57,4.7,4.63,8.65,233.44,0.6,-999.0,293.43,-999.0,-999.0
48.75,10.25,2022,1,2,5.53,3.22,4.38,4.39,8.73,234.61,0.92,-999.0,289.02,-999.0,-999.0
48.75,10.75,2022,1,2,5.45,3.07,4.26,4.34,8.47,236.0,0.92,-999.0,289.02,-999.0,-999.0
48.75,11.25,2022,1,2,5.29,3.06,4.17,4.15,7.72,234.38,0.92,-999.0,289.02,-999.0,-999.0
48.75,11.75,2022,1,2,4.94,2.8,3.87,3.78,7.37,230.3,0.92,-999.0,289.02,-999.0,-999.0
48.75,12.25,2022,1,2,4.38,2.49,3.43,3.12,6.83,224.78,1.1,-999.0,279.72,-999.0,-999.0
48.75,12.75,2022,1,2,3.92,2.22,3.07,2.52,6.3,221.68,1.1,-999.0,279.72,-999.0,-999.0
48.75,13.25,2022,1,2,3.66,2.02,2.84,2.15,6.08,222.83,1.1,-999.0,279.72,-999.0,-999.0
48.75,13.75,2022,1,2,3.51,1.85,2.67,1.94,6.55,228.03,1.1,-999.0,279.72,-999.0,-999.0
48.75,14.25,2022,1,2,3.63,1.97,2.8,2.49,6.59,226.13,0.94,-999.0,276.74,-999.0,-999.0
48.75,14.75,2022,1,2,3.44,1.85,2.65,2.55,6.48,229.93,0.94,-999.0,276.74,-999.0,-999.0
48.75,15.25,2022,1,2,3.5,1.95,2.72,2.6,6.17,236.56,0.94,-999.0,276.74,-999.0,-999.0
49.25,5.75,2022,1,2,7.11,6.34,6.73,6.93,9.12,220.66,1.08,1.14,311.12,-999.0,-999.0
49.25,6.25,2022,1,2,7.12,6.2,6.66,6.9,9.05,221.41,0.79,-999.0,304.04,-999.0,-999.0
49.25,6.75,2022,1,2,6.77,5.92,6.35,6.51,8.95,223.48,0.79,-999.0,304.04,-999.0,-999.0
49.25,7.25,2022,1,2,6.83,5.83,6.33,6.56,8.69,229.04,0.79,-999.0,304.04,-999.0,-999.0
49.25,7.75,2022,1,2,6.87,5.62,6.24,6.49,8.51,228.71,0.79,-999.0,304.04,-999.0,-999.0
49.25,8.25,2022,1,2,6.76,5.27,6.01,6.17,8.58,223.04,0.49,-999.0,301.49,-999.0,-999.0
49.25,8.75,2022,1,2,6.7,5.07,5.89,5.94,8.98,222.56,0.49,-999.0,301.49,-999.0,-999.0
49.25,9.25,2022,1,2,6.57,4.73,5.65,5.62,8.75,227.56,0.49,-999.0,301.49,-999.0,-999.0
49.25,9.75,2022,1,2,6.35,4.38,5.37,5.36,8.83,230.67,0.49,-999.0,301.49,-999.0,-999.0
49.25,10.25,2022,1,2,6.05,4.19,5.12,5.1,8.66,230.33,0.48,-999.0,300.28,-999.0,-999.0
49.25,10.75,2022,1,2,5.67,4.14,4.9,4.85,8.05,226.98,0.48,-999.0,300.28,-999.0,-999.0
49.25,11.25,2022,1,2,5.24,4.04,4.64,4.67,7.2,223.03,0.48,-999.0,300.28,-999.0,-999.0
49.25,11.75,2022,1,2,4.82,3.7,4.26,4.29,6.85,219.56,0.48,-999.0,300.28,-999.0,-999.0
49.25,12.25,2022,1,2,4.26,3.19,3.73,3.69,6.84,216.01,0.6,-999.0,289.48,-999.0,-999.0
49.25,12.75,2022,1,2,3.81,2.77,3.29,3.15,7.03,215.74,0.6,-999.0,289.48,-999.0,-999.0
49.25,13.25,2022,1,2,3.61,2.56,3.08,2.83,7.42,220.29,0.6,-999.0,289.48,-999.0,-999.0
49.25,13.75,2022,1,2,3.72,2.53,3.13,2.77,8.17,229.31,0.6,-999.0,289.48,-999.0,-999.0
49.25,14.25,2022,1,2,4.09,2.79,3.44,3.26,8.14,228.34,0.76,-999.0,277.62,-999.0,-999.0
49.25,14.75,2022,1,2,3.84,2.57,3.21,2.98,7.88,226.84,0.76,-999.0,277.62,-999.0,-999.0
49.25,15.25,2022,1,2,3.62,2.44,3.03,2.7,7.42,229.11,0.76,-999.0,277.62,-999.0,-999.0
49.75,5.75,2022,1,2,6.89,6.26,6.58,6.72,9.37,221.08,1.08,1.14,311.12,-999.0,-999.0
49.75,6.25,2022,1,2,6.92,6.14,6.53,6.76,9.25,222.91,0.79,-999.0,304.04,-999.0,-999.0
49.75,6.75,2022,1,2,6.76,5.97,6.36,6.58,9.45,225.51,0.79,-999.0,304.04,-999.0,-999.0
49.75,7.25,2022,1,2,6.93,5.99,6.46,6.73,9.25,229.34,0.79,-999.0,304.04,-999.0,-999.0
49.75,7.75,2022,1,2,7.08,6.01,6.54,6.83,8.65,229.33,0.79,-999.0,304.04,-999.0,-999.0
49.75,8.25,2022,1,2,7.06,5.91,6.48,6.73,8.01,224.12,0.49,-999.0,301.49,-999.0,-999.0
49.75,8.75,2022,1,2,6.91,5.69,6.3,6.46,7.95,216.09,0.49,-999.0,301.49,-999.0,-999.0
49.75,9.25,2022,1,2,6.49,5.23,5.86,5.95,7.99,219.67,0.49,-999.0,301.49,-999.0,-999.0
49.75,9.75,2022,1,2,6.37,4.93,5.65,5.73,8.25,224.46,0.49,-999.0,301.49,-999.0,-999.0
49.75,10.25,2022,1,2,6.27,4.83,5.55,5.61,8.32,223.45,0.48,-999.0,300.28,-999.0,-999.0
49.75,10.75,2022,1,2,6.03,4.84,5.44,5.48,8.03,217.01,0.48,-999.0,300.28,-999.0,-999.0
49.75,11.25,2022,1,2,5.59,4.73,5.16,5.24,7.51,212.91,0.48,-999.0,300.28,-999.0,-999.0
49.75,11.75,2022,1,2,5.06,4.33,4.69,4.77,7.17,213.91,0.48,-999.0,300.28,-999.0,-999.0
49.75,12.25,2022,1,2,4.56,3.85,4.2,4.25,7.19,217.78,0.6,-999.0,289.48,-999.0,-999.0
49.75,12.75,2022,1,2,4.29,3.49,3.89,3.87,7.66,224.38,0.6,-999.0,289.48,-999.0,-999.0
49.75,13.25,2022,1,2,4.31,3.35,3.83,3.75,8.37,230.7,0.6,-999.0,289.48,-999.0,-999.0
49.75,13.75,2022,1,2,4.58,3.46,4.02,3.88,8.71,230.88,0.6,-999.0,289.48,-999.0,-999.0
49.75,14.25,2022,1,2,4.71,3.6,4.16,3.99,8.58,229.8,0.76,-999.0,277.62,-999.0,-999.0
49.75,14.75,2022,1,2,4.32,3.31,3.82,3.56,8.26,225.69,0.76,-999.0,277.62,-999.0,-999.0
49.75,15.25,2022,1,2,4.03,3.05,3.54,3.22,7.98,224.2,0.76,-999.0,277.62,-999.0,-999.0
50.25,5.75,2022,1,2,7.32,6.5,6.91,7.01,10.52,220.76,0.63,-999.0,320.67,-999.0,-999.0
50.25,6.25,2022,1,2,7.03,6.09,6.55,6.7,10.6,224.53,0.59,-999.0,313.96,-999.0,-999.0
50.25,6.75,2022,1,2,7.15,6.11,6.63,6.85,10.28,227.18,0.59,-999.0,313.96,-999.0,-999.0
50.25,7.25,2022,1,2,7.35,6.23,6.79,7.06,9.61,227.08,0.59,-999.0,313.96,-999.0,-999.0
50.25,7.75,2022,1,2,7.43,6.32,6.87,7.15,8.77,225.25,0.59,-999.0,313.96,-999.0,-999.0
50.25,8.25,2022,1,2,7.34,6.31,6.83,7.08,8.05,221.18,0.49,-999.0,305.64,-999.0,-999.0
50.25,8.75,2022,1,2,7.2,6.19,6.7,6.92,7.88,212.75,0.49,-999.0,305.64,-999.0,-999.0
50.25,9.25,2022,1,2,6.69,5.8,6.24,6.41,7.74,213.28,0.49,-999.0,305.64,-999.0,-999.0
50.25,9.75,2022,1,2,6.4,5.45,5.93,6.06,7.8,216.11,0.49,-999.0,305.64,-999.0,-999.0
50.25,10.25,2022,1,2,6.16,5.2,5.68,5.81,7.82,215.92,0.37,-999.0,311.17,-999.0,-999.0
50.25,10.75,2022,1,2,5.9,5.05,5.48,5.59,7.87,212.85,0.37,-999.0,311.17,-999.0,-999.0
50.25,11.25,2022,1,2,5.63,4.95,5.29,5.35,8.26,212.5,0.37,-999.0,311.17,-999.0,-999.0
50.25,11.75,2022,1,2,5.27,4.6,4.94,4.98,8.26,213.62,0.37,-999.0,311.17,-999.0,-999.0
50.25,12.25,2022,1,2,4.91,4.25,4.58,4.62,7.97,219.34,0.35,-999.0,303.95,-999.0,-999.0
50.25,12.75,2022,1,2,4.69,3.97,4.33,4.34,8.04,227.67,0.35,-999.0,303.95,-999.0,-999.0
50.25,13.25,2022,1,2,4.63,3.8,4.21,4.14,8.44,234.41,0.35,-999.0,303.95,-999.0,-999.0
50.25,13.75,2022,1,2,4.58,3.73,4.15,3.97,8.42,233.16,0.35,-999.0,303.95,-999.0,-999.0
50.25,14.25,2022,1,2,4.49,3.72,4.1,3.8,8.08,226.16,0.52,-999.0,293.65,-999.0,-999.0
50.25,14.75,2022,1,2,4.1,3.45,3.78,3.38,7.76,222.29,0.52,-999.0,293.65,-999.0,-999.0
50.25,15.25,2022,1,2,3.81,3.19,3.5,3.09,7.62,221.81,0.52,-999.0,293.65,-999.0,-999.0
50.75,5.75,2022,1,2,8.67,7.31,7.99,8.21,11.25,222.77,0.63,-999.0,320.67,-999.0,-999.0
50.75,6.25,2022,1,2,8.52,6.9,7.71,7.99,11.4,225.84,0.59,-999.0,313.96,-999.0,-999.0
50.75,6.75,2022,1,2,8.41,6.87,7.64,7.91,10.7,225.59,0.59,-999.0,313.96,-999.0,-999.0
50.75,7.25,2022,1,2,8.13,6.79,7.46,7.69,9.88,223.04,0.59,-999.0,313.96,-999.0,-999.0
50.75,7.75,2022,1,2,7.75,6.63,7.19,7.4,9.16,220.54,0.59,-999.0,313.96,-999.0,-999.0
50.75,8.25,2022,1,2,7.4,6.46,6.93,7.12,8.73,218.91,0.49,-999.0,305.64,-999.0,-999.0
50.75,8.75,2022,1,2,7.28,6.37,6.82,7.03,8.73,217.41,0.49,-999.0,305.64,-999.0,-999.0
50.75,9.25,2022,1,2,7.1,6.24,6.67,6.85,8.89,214.43,0.49,-999.0,305.64,-999.0,-999.0
50.75,9.75,2022,1,2,6.81,5.99,6.4,6.55,8.72,213.95,0.49,-999.0,305.64,-999.0,-999.0
50.75,10.25,2022,1,2,6.5,5.68,6.09,6.24,8.45,214.52,0.37,-999.0,311.17,-999.0,-999.0
50.75,10.75,2022,1,2,6.26,5.43,5.85,6.0,8.45,215.64,0.37,-999.0,311.17,-999.0,-999.0
50.75,11.25,2022,1,2,6.21,5.39,5.8,5.9,9.21,217.72,0.37,-999.0,311.17,-999.0,-999.0
50.75,11.75,2022,1,2,6.21,5.28,5.74,5.81,9.64,216.79,0.37,-999.0,311.17,-999.0,-999.0
50.75,12.25,2022,1,2,6.15,5.12,5.64,5.74,9.53,218.29,0.35,-999.0,303.95,-999.0,-999.0
50.75,12.75,2022,1,2,6.05,4.92,5.49,5.58,9.34,222.75,0.35,-999.0,303.95,-999.0,-999.0
50.75,13.25,2022,1,2,5.84,4.66,5.25,5.24,9.19,227.96,0.35,-999.0,303.95,-999.0,-999.0
50.75,13.75,2022,1,2,5.37,4.31,4.84,4.71,8.87,228.91,0.35,-999.0,303.95,-999.0,-999.0
50.75,14.25,2022,1,2,4.79,3.99,4.39,4.11,8.39,221.58,0.52,-999.0,293.65,-999.0,-999.0
50.75,14.75,2022,1,2,4.39,3.73,4.06,3.73,8.23,218.38,0.52,-999.0,293.65,-999.0,-999.0
50.75,15.25,2022,1,2,4.22,3.57,3.89,3.6,8.4,219.77,0.52,-999.0,293.65,-999.0,-999.0
51.25,5.75,2022,1,2,9.6,8.03,8.82,9.11,11.09,227.18,0.35,-999.0,331.56,-999.0,-999.0
51.25,6.25,2022,1,2,9.65,7.87,8.76,9.1,10.96,227.53,0.37,-999.0,323.71,-999.0,-999.0
51.25,6.75,2022,1,2,9.38,7.73,8.55,8.81,10.6,224.43,0.37,-999.0,323.71,-999.0,-999.0
51.25,7.25,2022,1,2,8.86,7.47,8.16,8.34,10.41,221.41,0.37,-999.0,323.71,-999.0,-999.0
51.25,7.75,2022,1,2,8.38,7.16,7.77,7.92,10.18,219.77,0.37,-999.0,323.71,-999.0,-999.0
51.25,8.25,2022,1,2,8.06,6.9,7.48,7.64,9.88,219.86,0.4,-999.0,313.28,-999.0,-999.0
51.25,8.75,2022,1,2,7.86,6.77,7.31,7.48,9.73,221.03,0.4,-999.0,313.28,-999.0,-999.0
51.25,9.25,2022,1,2,7.76,6.74,7.25,7.4,9.62,219.03,0.4,-999.0,313.28,-999.0,-999.0
51.25,9.75,2022,1,2,7.53,6.59,7.06,7.19,9.36,218.55,0.4,-999.0,313.28,-999.0,-999.0
51.25,10.25,2022,1,2,7.25,6.35,6.8,6.92,9.13,220.14,0.27,-999.0,311.7,-999.0,-999.0
51.25,10.75,2022,1,2,7.02,6.11,6.56,6.69,9.13,223.29,0.27,-999.0,311.7,-999.0,-999.0
51.25,11.25,2022,1,2,7.08,6.07,6.58,6.67,9.6,226.47,0.27,-999.0,311.7,-999.0,-999.0
51.25,11.75,2022,1,2,7.22,6.07,6.65,6.73,9.97,223.62,0.27,-999.0,311.7,-999.0,-999.0
51.25,12.25,2022,1,2,7.25,5.98,6.62,6.72,10.13,221.91,0.15,-999.0,314.41,-999.0,-999.0
51.25,12.75,2022,1,2,7.25,5.86,6.56,6.66,10.14,222.74,0.15,-999.0,314.41,-999.0,-999.0
51.25,13.25,2022,1,2,7.2,5.72,6.46,6.52,10.03,224.85,0.15,-999.0,314.41,-999.0,-999.0
51.25,13.75,2022,1,2,6.96,5.53,6.24,6.24,9.77,224.38,0.15,-999.0,314.41,-999.0,-999.0
51.25,14.25,2022,1,2,6.46,5.18,5.82,5.8,9.63,221.22,0.31,-999.0,306.23,-999.0,-999.0
51.25,14.75,2022,1,2,6.11,4.93,5.52,5.48,9.68,220.32,0.31,-999.0,306.23,-999.0,-999.0
51.25,15.25,2022,1,2,5.91,4.76,5.33,5.26,9.84,222.42,0.31,-999.0,306.23,-999.0,-999.0
51.75,5.75,2022,1,2,9.86,8.45,9.16,9.35,11.33,230.54,0.35,-999.0,331.56,-999.0,-999.0
51.75,6.25,2022,1,2,9.75,8.32,9.04,9.24,10.98,229.34,0.37,-999.0,323.71,-999.0,-999.0
51.75,6.75,2022,1,2,9.54,8.14,8.84,9.01,10.85,226.77,0.37,-999.0,323.71,-999.0,-999.0
51.75,7.25,2022,1,2,9.31,7.96,8.63,8.79,10.92,224.92,0.37,-999.0,323.71,-999.0,-999.0
51.75,7.75,2022,1,2,9.16,7.8,8.48,8.63,10.88,224.08,0.37,-999.0,323.71,-999.0,-999.0
51.75,8.25,2022,1,2,9.09,7.66,8.37,8.54,10.67,224.14,0.4,-999.0,313.28,-999.0,-999.0
51.75,8.75,2022,1,2,8.93,7.55,8.24,8.38,10.49,224.72,0.4,-999.0,313.28,-999.0,-999.0
51.75,9.25,2022,1,2,8.62,7.38,8.0,8.11,10.24,224.09,0.4,-999.0,313.28,-999.0,-999.0
51.75,9.75,2022,1,2,8.39,7.23,7.81,7.9,9.97,223.19,0.4,-999.0,313.28,-999.0,-999.0
51.75,10.25,2022,1,2,8.15,7.04,7.59,7.69,9.76,224.51,0.27,-999.0,311.7,-999.0,-999.0
51.75,10.75,2022,1,2,7.97,6.84,7.4,7.5,9.7,227.98,0.27,-999.0,311.7,-999.0,-999.0
51.75,11.25,2022,1,2,8.01,6.79,7.4,7.47,9.83,230.88,0.27,-999.0,311.7,-999.0,-999.0
51.75,11.75,2022,1,2,7.99,6.73,7.36,7.42,9.79,227.72,0.27,-999.0,311.7,-999.0,-999.0
51.75,12.25,2022,1,2,7.82,6.58,7.2,7.26,9.79,225.57,0.15,-999.0,314.41,-999.0,-999.0
51.75,12.75,2022,1,2,7.67,6.45,7.06,7.11,9.83,225.27,0.15,-999.0,314.41,-999.0,-999.0
51.75,13.25,2022,1,2,7.61,6.38,6.99,7.02,9.86,226.12,0.15,-999.0,314.41,-999.0,-999.0
51.75,13.75,2022,1,2,7.58,6.33,6.95,6.91,9.82,225.88,0.15,-999.0,314.41,-999.0,-999.0
51.75,14.25,2022,1,2,7.34,6.08,6.71,6.68,9.89,225.35,0.31,-999.0,306.23,-999.0,-999.0
51.75,14.75,2022,1,2,7.05,5.84,6.44,6.39,9.98,226.12,0.31,-999.0,306.23,-999.0,-999.0
51.75,15.25,2022,1,2,6.76,5.62,6.19,6.07,9.97,227.86,0.31,-999.0,306.23,-999.0,-999.0
